FONDO;CONCURSO;ANIO;CONTRATO;TITULO;FECHA_INICIO;FECHA_FIN;NOMBRE_SOLICITANTE;DISTRITO;PROVINCIA;DEPARTAMENTO;UBIGEO;MONTO_RNR;MONTO_FINANCIERO;MONTO_NO_FINANCIERO;MONEDA;FECHA_CORTE;;;;
FINCYT I;PIBAP;2009;026-FINCYT-PIBAP-2009;DETERMINACION DE TECNICAS APROPIADAS DE MANEJO SILVICULTURAL Y DE CONSERVACION DE SUELOS PARA INCREMENTAR LA CALIDAD MADERABLE DE PLANTACIONES DE PINO (PINUS RADIATA) INSTALADAS EN AREAS DEGRADADAS DE LA REGION CUSCO;20090423;20120330;INSTITUTO NACIONAL DE INNOVACION AGRARIA;LA MOLINA;LIMA;LIMA;150114;316495.19;0;129650;SOLES;20230706;;;;
FINCYT I;PIBAP;2009;015-FINCYT-PIBAP-2009;INVESTIGACION DE UN SISTEMA DE TRATAMIENTO FOTOQUIMICO PARA LA REMOCION DE PATOGENOS Y COMPUESTOS ORGANICOS VOLATILES DEL AIRE EN AMBIENTES CERRADOS;20090219;20111028;UNIVERSIDAD;RIMAC;LIMA;LIMA;150128;400250;2000;407796;SOLES;20230706;;;;
FINCYT I;PIBAP;2009;022-FINCYT-PIBAP-2009;DESARROLLO DE ENVASES Y EMBALAJES DE PLSTICOS BIODEGRADABLES Y COMPOSTABLES PARA LA MEJORA DE LA COMPETITIVIDAD AGROINDUSTRIAL;20090206;20111123;UNIVERSIDAD;SAN MIGUEL;LIMA;LIMA;150136;390369.2;12000;193520;SOLES;20230706;;;;
FINCYT I;PIBAP;2009;041-FINCYT-PIBAP-2009;EVALUACION GENETICA DE PLANTAS SUPERIORES DE CAMU CAMU (MYRCIARIA DUBIA MCVAUGH H.B.K.) EN LORETO Y UCAYALI;20090305;20110529;INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA;IQUITOS;MAYNAS;LORETO;160101;316330;2000;215560;SOLES;20230706;;;;
FINCYT I;PIBAP;2009;038-FINCYT-PIBAP-2009;SELECCIÃ“N DE GENOTIPOS SUPERIORES DE CACAO DE ALTO RENDIMIENTO Y RESISTENCIA A ENFERMEDADES;20090219;20110629;INSTITUTO DE CULTIVOS TROPICALES;LA BANDA DE SHILCAYO;SAN MARTIN;SAN MARTIN;220909;273914.59;0;198371.11;SOLES;20230706;;;;
FINCYT I;PIBAP;2009;002-FINCYT-PIBAP-2009;DOMESTICACION Y CONSERVACION DE PODANTHERA BIFLORA (YUCA DE MONTE);20090128;20110529;UNIVERSIDAD;SAN MARTIN DE PORRES;LIMA;LIMA;150135;402920;0;185454;SOLES;20230706;;;;
FINCYT I;PIBAP;2009;012-FINCYT-PIBAP-2009;UTILIZACION DE LAS HARINAS DE MACROALGAS VERDES Y PARDAS EN EL ALIMENTO BALANCEADO DEL LANGOSTINO BLANCO LITOPENAEUS VANNAMEI Y SU IMPACTO EN EL PROCESO PRODUCTIVO CONTROL EN LA EXCRECION DE DESECHOS Y RESISTENCIA FRENTE AL VIRUS DE LA MANCHA BLANCA ;20090128;20110330;UNIVERSIDAD;LA MOLINA;LIMA;LIMA;150114;214184.52;0;118675;SOLES;20230706;;;;
FINCYT I;PIBAP;2009;001-FINCYT-PIBAP-2009;BASES CIENTIFICAS Y TECNOLOGICAS PARA INCREMENTAR LA PRODUCTIVIDAD DEL CULTIVO DE CONCHAS DE ABANICO EN AREAS DE REPOBLAMIENTO EN LA BAHIA DE SECHURA;20090128;20111027;UNIVERSIDAD;LA MOLINA;LIMA;LIMA;150114;401192.64;0;57514;SOLES;20230706;;;;
FINCYT I;PIBAP;2009;017-FINCYT-PIBAP-2009;"PATOGENOS DE ETIOLOGIA EN PAICHE (ARAPAIMA GIGAS) DURANTE LA ETAPA DE ALEVINAJE HASTA ADULTO: IDENTIFICACION\; FRECUENCIA Y CARACTERIZACION";20090204;20120229;UNIVERSIDAD;SAN MARTIN DE PORRES;LIMA;LIMA;150135;404005;0;344220;SOLES;20230706;;;;
FINCYT I;PIBAP;2009;016-FINCYT-PIBAP-2009;"BIOTECNOLOGIA MOLECULAR EN ACUICULTURA: DESARROLLO DE UN METODO GENETICO DE IDENTIFICACION DEL SEXO EN PAICHE\; HERRAMIENTA INDISPENSABLE PARA LA INNOVACION TECNOLOGICA DE SU CRIANZA EN LA AMAZONIA PERUANA";20090129;20110928;UNIVERSIDAD;SAN MARTIN DE PORRES;LIMA;LIMA;150135;404050;0;537818.48;SOLES;20230706;;;;
